Year Completed,Status,Job Number,Sector,Job Name,Contractor,Project Address,State,Latitude,Longitude,Link
2016,Complete,AUZUS0020,Multi Family,THE FOUNTAINS APARTMENTS,Parc Plaza Developments,10011 N Central Expressway Dallas TX 75231,Texas,32.88393,-96.770918,
2024,Complete,AUZUS0161,Multi Family,Symphony Square,"Greystar Development and Construction, L.P.","1104 Sabine St, Austin, TX 78701",Texas,30.27112748,-97.73444722,
2024,Complete,AUZUS0211,Multi Family,Floodgate Apartments,Jordan Foster Construction,"143 East Commerce Street  San Antonio, TX 78205",Texas,29.42487325,-98.49211567,
2020,Complete,AUZUS0123,Multi Family,Atelier Flora,Balfour Beatty - Dallas,1801 N Pearl St Dallas TX 75201,Texas,32.78893648,-96.79940034,https://www.auzmet.com/atelier-flora
2017,Complete,AUZUS0063,Multi Family,The Ascent,HOAR Construction,2588 N Houston St Dallas TX 75219,Texas,32.79082437,-96.80906754,
2022,Complete,AUZUS0151,Multi Family,Selene Apartments (Previously KMM Uptown),Weis Builders,2610 Maple Ave Dallas TX 75201,Texas,32.79593508,-96.8044293,https://www.auzmet.com/selene-apt
2025,Complete,AUZUS0200,Multi Family,2800 Taylor,Andres Construction Services,"2800 Taylor St., Dallas TX 75226",Texas,32.78122438,-96.78194295,https://www.auzmet.com/2800taylor
2024,Complete,AUZUS0165,Multi Family,Hines Maple Terrace,Walsh Group,"3001 Maple Ave Dallas, TX 75201",Texas,32.79812775,-96.80847378,
In Progress,Active,AUZUS0269,Multi Family,McNair W 11th St,Cadence McShane Construction,"3001 W 11th Street Houston, Texas 77008",Texas,29.78831608,-95.43149474,
2024,Complete,AUZUS0198,Multi Family,Crescent Museum Place,Andres Construction Services,"3300 Camp Bowie St.  Fort Worth, TX 76102",Texas,32.75006254,-97.36510599,https://www.auzmet.com/crescent-musuem-place
2021,Complete,AUZUS0136,Multi Family,48 East,AE Com Hunt,"48 East Ave Austin, TX 78701",Texas,30.2564821,-97.73885442,
2025,Complete,AUZUS0215,Multi Family,Stella Lofts,Brasfield & Gorrie,"660 11th St  Atlanta, GA 30318",Georgia,33.78276652,-84.40910808,
2025,Complete,AUZUS0207,Multi Family,80 Rainey,JE Dunn,"80 Rainey St, Austin, TX 78701",Texas,30.2592568,-97.73903526,https://www.auzmet.com/8111-douglas
2024,Complete,AUZUS0184,Multi Family,900 Cleveland,Weis Builders,"900 Dickerson Pike Nashville, TN 37207",Tennessee,36.18787803,-86.77350737,
2024,Complete,AUZUS0224,Municipal,Endeavor VWC,Jordan Foster Construction,"12135 Pebble Hills Blvd.  El Paso, TX 79936",Texas,31.77781623,-106.2707141,
In Progress,Active,AUZUS0267,Municipal,Del Valle Library,Turner Construction,"13512 FM812, Del Valle, TX 78617",Texas,30.12407458,-97.63850278,
In Progress,Active,AUZUS0286,Municipal,Metro MOW Facility,Satterfield & Pontikes,"1603 Keene St. Houston, TX 77009",Texas,29.77296524,-95.36129677,
2016,Complete,AUZUS0016,Municipal,HOLLYHOCK AMENITY CENTER,Ratcliff Constructors,16360 Hollyhock Rd Frisco TX 75078,Texas,33.213869,-96.871152,
In Progress,Active,AUZUS0315,Municipal,Crisis Receiving and Stabilization Center,Davis Construction,"16480 Meadowview Ct. Leesburg VA, 22060",Virginia,39.07741561,-77.54991699,
In Progress,Active,AUZUS0273,Municipal,Loudoun County Fire & Rescue,Carlson,"16599 Courage CT. Leesburg, VA 20175",Virginia,39.07414041,-77.55099931,
